"","DATA_REF_SYNTAX","SUB_EX_ID","TABLE_ID","ENS_MEMBER","GRID_LABEL","VERSION_NO","VAR_NAME"
"154","CMIP6.ScenarioMIP.NUIST.NESM3.ssp126","none","day","r1i1p1f1","gn","v20190806","tasmax"
"156","CMIP6.ScenarioMIP.NUIST.NESM3.ssp585","none","day","r1i1p1f1","gn","v20190811","tasmax"
"29","CMIP6.CMIP.NCC.NorESM2-LM.historical","none","day","r1i1p1f1","gn","v20190815","tasmax"
"136","CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp126","none","day","r1i1p1f1","gn","v20191108","tasmax"
"139","CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp585","none","day","r1i1p1f1","gn","v20191108","tasmax"
"30","CMIP6.CMIP.NCC.NorESM2-MM.historical","none","day","r1i1p1f1","gn","v20191108","tasmax"
"140","CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp126","none","day","r1i1p1f1","gn","v20191108","tasmax"
"143","CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp585","none","day","r1i1p1f1","gn","v20191108","tasmax"
"25","CMIP6.CMIP.MOHC.UKESM1-0-LL.historical","none","day","r1i1p1f2","gn","v20190627","tasmax"
"120","CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp126","none","day","r1i1p1f2","gn","v20190708","tasmax"
"123","CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp585","none","day","r1i1p1f2","gn","v20190726","tasmax"
