DATA_REF_SYNTAX;SUB_EX_ID;ENS_MEMBER;TABLE_ID;VAR_NAME;GRID_LABEL;VERSION_NO;HANDLE
CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.historical;none;r1i1p1f3;day;snw;gn;v20191207;hdl:21.14100/71b56634-ff6f-48fd-88bf-861be7d27358;b,d
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-MM.ssp126;none;r1i1p1f3;day;snw;gn;v20200515;hdl:21.14100/e57fa188-3d34-483d-9fbf-3e723f1878c5;b,d
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-MM.ssp585;none;r1i1p1f3;day;snw;gn;v20200515;hdl:21.14100/6262cd10-f4eb-4d59-8c6e-63774de5f14d;b,d
CMIP6.CMIP.INM.INM-CM4-8.historical;none;r1i1p1f1;day;snw;gr1;v20190530;hdl:21.14100/2a229329-5d60-4ca9-b50c-06212168b91f;b,d
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp126;none;r1i1p1f1;day;snw;gr1;v20190603;hdl:21.14100/1efa402c-20e2-431a-80cd-24c3438b5d6f;b,d
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp585;none;r1i1p1f1;day;snw;gr1;v20190603;hdl:21.14100/8f9fae6d-9966-415e-8a21-622a1c19f3f5;b,d
CMIP6.CMIP.INM.INM-CM5-0.historical;none;r1i1p1f1;day;snw;gr1;v20190610;hdl:21.14100/9da18bb2-2b11-44bf-ab5c-b3f7128ae801;b,d
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp126;none;r1i1p1f1;day;snw;gr1;v20190619;hdl:21.14100/721d332c-f404-4993-a2be-521ba7da9694;b,d
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp585;none;r1i1p1f1;day;snw;gr1;v20190724;hdl:21.14100/e84ca2cf-3d69-43bc-96b4-438c6f859b0a;b,d
CMIP6.CMIP.MIROC.MIROC-ES2L.historical;none;r1i1p1f2;day;snw;gn;v20191129;hdl:21.14100/9a94a1c6-0073-4ccd-938d-753077e20031;b,d
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp126;none;r1i1p1f2;day;snw;gn;v20200318;hdl:21.14100/387f04d8-469e-4756-a62f-b3a250910749;b,d
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp585;none;r1i1p1f2;day;snw;gn;v20200318;hdl:21.14100/8567e65c-f467-4824-b4c1-e79cd8ebff83;b,d
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical;none;r1i1p1f1;day;snw;gn;v20190710;hdl:21.14100/5bf9537e-81f8-46cb-8f5c-7c109e2688f7;b,d
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp126;none;r1i1p1f1;day;snw;gn;v20190710;hdl:21.14100/722dfec6-ff1e-49cb-b56e-4a675bf59ab9;b,d
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585;none;r1i1p1f1;day;snw;gn;v20190710;hdl:21.14100/fd4267d5-9c17-4db2-8bae-a82b5b46a2a0;b,d
