"","X","DATA_REF_SYNTAX","SUB_EX_ID","TABLE_ID","ENS_MEMBER","GRID_LABEL","VERSION_NO","VAR_NAME"
"121",121,"CMIP6.ScenarioMIP.MIROC.MIROC6.ssp585","none","Amon","r1i1p1f1","gn","v20190627","sfcWind"
"122",122,"CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp126","none","Amon","r1i1p1f2","gn","v20190823","sfcWind"
"125",125,"CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp585","none","Amon","r1i1p1f2","gn","v20190823","sfcWind"
"126",126,"CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp126","none","Amon","r1i1p1f3","gn","v20200114","sfcWind"
"128",128,"CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp585","none","Amon","r1i1p1f3","gn","v20200114","sfcWind"
"129",129,"CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp126","none","Amon","r1i1p1f2","gn","v20190503","sfcWind"
"132",132,"CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp585","none","Amon","r1i1p1f2","gn","v20190507","sfcWind"
"133",133,"CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp126","none","Amon","r1i1p1f1","gn","v20190710","sfcWind"
"136",136,"CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585","none","Amon","r1i1p1f1","gn","v20190710","sfcWind"
"137",137,"CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp126","none","Amon","r1i1p1f1","gn","v20191108","sfcWind"
"141",141,"CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp585","none","Amon","r1i1p1f1","gn","v20191108","sfcWind"
"142",142,"CMIP6.ScenarioMIP.NCAR.CESM2.ssp126","none","Amon","r4i1p1f1","gn","v20200528","sfcWind"
"145",145,"CMIP6.ScenarioMIP.NCAR.CESM2.ssp585","none","Amon","r4i1p1f1","gn","v20200528","sfcWind"
"146",146,"CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp126","none","Amon","r1i1p1f1","gn","v20190815","sfcWind"
"149",149,"CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp585","none","Amon","r1i1p1f1","gn","v20200702","sfcWind"
