DATA_REF_SYNTAX,FREQUENCY,MODELING_REALM,TABLE_ID,ENS_MEMBER,VERSION_NO,VAR_NAME,HANDLE
CMIP5.output.NSF-DOE-NCAR.CESM1-BGC.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,67e4f6e9-ad6d-4ce9-86e3-0452aed14fa5
CMIP5.output.INM.inmcm4.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,d8b96482-4e60-46f9-9f75-ffac7a49c079
CMIP5.output.CCCma.CanESM2.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,484a8601-6c70-4464-aaff-610c9a8000d7
CMIP5.output.NASA-GISS.GISS-E2-R-CC.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,18295675-1734-4fd8-9d51-47ad99af2792
CMIP5.output.BNU.BNU-ESM.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,518a4842-1d85-4ec4-8302-ce1197451c2b
CMIP5.output.NCAR.CCSM4.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,76b9fb38-7b4c-40a3-873d-64e521408eb1
CMIP5.output.NOAA-GFDL.GFDL-ESM2G.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,494273d7-414a-494a-99af-d5e20410c431
CMIP5.output.BCC.bcc-csm1-1-m.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,dd4b1a95-da0d-4f87-807a-f942449bb006
CMIP5.output.NOAA-GFDL.GFDL-ESM2M.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,53c1abf3-3f09-4858-bec7-433f5d84a85d
CMIP5.output.NCC.NorESM1-M.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,66c1d0a7-3a42-4e28-a62b-2e2535bd1fce
CMIP5.output.IPSL.IPSL-CM5A-MR.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,5ccaed60-1563-4150-af7e-f0b4c6633e75
CMIP5.output.IPSL.IPSL-CM5A-LR.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,20cc00de-011a-4a4f-8f21-9a942e4ff3c5
CMIP5.output.NOAA-GFDL.GFDL-CM3.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,b7d142cd-fd22-4b26-b6b3-fc525644cb9d
CMIP5.output.CNRM-CERFACS.CNRM-CM5.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,b002add1-14e3-44f0-b92a-cac6ac1ce8a4
CMIP5.output.NASA-GISS.GISS-E2-H.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,8783e7b2-4001-4f8c-9bf5-cb1c729c43e4
CMIP5.output.MIROC.MIROC-ESM-CHEM.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,521f80fd-1d3e-4fe7-adaa-b54ebd14d360
CMIP5.output.BCC.bcc-csm1-1.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,853e77a6-a0c4-4757-b2db-a9da21cc7b55
CMIP5.output.NCC.NorESM1-ME.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,47ac691c-994b-4871-8867-b6df973824d1
CMIP5.output.NIMR-KMA.HadGEM2-AO.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,f1c456b8-945a-40f4-9db4-e94e19b3ce6f
CMIP5.output.NASA-GISS.GISS-E2-R.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,dea0d1fc-5f3c-4257-8f02-5c7e3b7d1a45
CMIP5.output.MOHC.HadGEM2-CC.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,8eff5a33-e29f-44f6-9a64-38490a1fd9bf
CMIP5.output.NASA-GISS.GISS-E2-H-CC.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,dc069910-a1ba-4d5f-8cc9-86808473157d
CMIP5.output.CMCC.CMCC-CESM.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,22159649-340e-4556-a203-ba15fb8bbce2
CMIP5.output.MRI.MRI-CGCM3.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,9c0382fb-8298-4de2-b610-e32bba4a06d6
CMIP5.output.MPI-M.MPI-ESM-LR.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,18e79bac-662f-455a-a60f-a725b72c7366
CMIP5.output.MRI.MRI-ESM1.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,eda3c8a8-e5ae-42b7-b08d-12adf87463fe
CMIP5.output.NSF-DOE-NCAR.CESM1-CAM5.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,3fa7156f-9ab3-4f3e-baaa-8ebdd3933b0b
CMIP5.output.LASG-CESS.FGOALS-g2.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,36b3d09d-9325-415c-81e4-818d2acf28a8
CMIP5.output.MIROC.MIROC-ESM.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,b488f426-dab0-47c7-87a4-af1aab3fa6b2
CMIP5.output.MIROC.MIROC5.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,91e2aba8-e4fc-4b67-9930-43b1ff922393
CMIP5.output.CCCma.CanESM2.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,e8235fc8-6805-4030-b59a-1a9a6e131933
CMIP5.output.MPI-M.MPI-ESM-MR.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,3e856ae0-0358-48cd-ac4a-2d9084cb915a
CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,5d6568c9-d8d4-4285-a057-a07d1c53bde5
CMIP5.output.BNU.BNU-ESM.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,31859a53-928f-4c5e-ab8a-aea4cf22d8e6
CMIP5.output.NCAR.CCSM4.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,99ac709a-1852-4727-a24d-1ac8853407c1
CMIP5.output.NOAA-GFDL.GFDL-ESM2G.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,763ceccb-2c98-47a2-bbbc-705ef681ee29
CMIP5.output.BCC.bcc-csm1-1-m.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,744a4fef-9a83-4874-abfc-9511d6ffaf85
CMIP5.output.NOAA-GFDL.GFDL-ESM2M.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,86aee286-b4c2-47b9-bdb9-99614617af6a
CMIP5.output.MOHC.HadGEM2-ES.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,18bd50ed-3eb4-46e9-893f-312ac1f059a6
CMIP5.output.NCC.NorESM1-M.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,cc5c0f45-2b37-4013-86ca-2723692802bb
CMIP5.output.IPSL.IPSL-CM5A-MR.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,48bf6424-df5d-454c-b1e6-e874e3d022d5
CMIP5.output.IPSL.IPSL-CM5A-LR.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,9db3cbe5-47d1-4c5c-9f02-4df6ae6746d4
CMIP5.output.NOAA-GFDL.GFDL-CM3.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,62dcd6f0-5ac1-4a71-9d4c-14721d222064
CMIP5.output.CNRM-CERFACS.CNRM-CM5.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,69a836ca-7994-404a-9164-392359dacbd8
CMIP5.output.NASA-GISS.GISS-E2-H.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,db01c7ed-c996-47c1-8875-84c77868bf2b
CMIP5.output.MIROC.MIROC-ESM-CHEM.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,d66f7818-fa71-4c6d-b62f-6c362db30e18
CMIP5.output.NCC.NorESM1-ME.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,cf772c1b-19ea-494b-9b0a-e901506bfc07
CMIP5.output.NIMR-KMA.HadGEM2-AO.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,544d4267-a978-4145-8188-84dfc77b3f91
CMIP5.output.NASA-GISS.GISS-E2-R.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,0c450ea4-8737-4676-b3dd-b98947c41bb4
CMIP5.output.MRI.MRI-CGCM3.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,985a2fbd-a1b6-4cbc-b974-dc83f1950145
CMIP5.output.MPI-M.MPI-ESM-LR.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,ce304f13-2da8-40f0-be44-6936ec56e920
CMIP5.output.BCC.bcc-csm1-1.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,457a5bfd-7c3b-48d2-be4c-3eb8d7ad63b8
CMIP5.output.NSF-DOE-NCAR.CESM1-CAM5.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,4d309ea3-bf96-47b5-a997-4c954627c3a8
CMIP5.output.CSIRO-BOM.ACCESS1-0.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,26a71408-c081-4d9e-ad6b-0663956e62e9
CMIP5.output.CSIRO-BOM.ACCESS1-3.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,84d000c7-fba5-4a8b-92b0-32ce4a2c4741
CMIP5.output.LASG-CESS.FGOALS-g2.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,ad62b7df-7cd8-47a9-b5fd-7be0610fb6e2
CMIP5.output.MIROC.MIROC5.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,2f9e4915-f816-4a50-8dad-a67372a4262a
CMIP5.output.CMCC.CMCC-CMS.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,6ae23089-c05f-4949-bcb7-e82d2d6f3b22
CMIP5.output.IPSL.IPSL-CM5B-LR.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,00fc7b6b-62fe-4efc-a83d-959f61d8d624
CMIP5.output.MIROC.MIROC-ESM.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,77b65eba-427a-4a6e-91d8-f0c88b88a367
CMIP5.output.MOHC.HadGEM2-ES.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,74d98117-f968-4c6c-8fb9-b39adbb72064
CMIP5.output.CMCC.CMCC-CM.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,992348ac-f0ef-407f-8550-0358cb9ef024
CMIP5.output.LASG-IAP.FGOALS-s2.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,906a437f-6e86-4578-bb12-db7c1d5b7be3
CMIP5.output.MPI-M.MPI-ESM-MR.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,9c218292-628a-417f-88dd-93841ca756fb
CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,55f6d1ca-472f-447e-a0f9-d4edf85c1c36
CMIP5.output.NSF-DOE-NCAR.CESM1-BGC.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,67e4f6e9-ad6d-4ce9-86e3-0452aed14fa5
CMIP5.output.INM.inmcm4.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,d8b96482-4e60-46f9-9f75-ffac7a49c079
CMIP5.output.CCCma.CanESM2.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,484a8601-6c70-4464-aaff-610c9a8000d7
CMIP5.output.NASA-GISS.GISS-E2-R-CC.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,2619b0a1-46f9-44d7-8147-0e709759b9e6
CMIP5.output.BNU.BNU-ESM.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,518a4842-1d85-4ec4-8302-ce1197451c2b
CMIP5.output.NCAR.CCSM4.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,76b9fb38-7b4c-40a3-873d-64e521408eb1
CMIP5.output.NOAA-GFDL.GFDL-ESM2G.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,93e1cc07-2711-47dc-82ac-9015b4772763
CMIP5.output.BCC.bcc-csm1-1-m.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,dd4b1a95-da0d-4f87-807a-f942449bb006
CMIP5.output.NOAA-GFDL.GFDL-ESM2M.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,f0cdca31-1681-4276-ae9a-3918b678b101
CMIP5.output.NCC.NorESM1-M.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,66c1d0a7-3a42-4e28-a62b-2e2535bd1fce
