DATA_REF_SYNTAX;SUB_EX_ID;ENS_MEMBER;TABLE_ID;VAR_NAME;GRID_LABEL;VERSION_NO;SUBPANEL
CMIP6.ScenarioMIP.KIOST.KIOST-ESM.ssp126;none;r1i1p1f1;day;psl;gr1;20200820;d
CMIP6.ScenarioMIP.KIOST.KIOST-ESM.ssp585;none;r1i1p1f1;day;psl;gr1;20200820;e,f
CMIP6.CMIP.KIOST.KIOST-ESM.historical;none;r1i1p1f1;day;tasmax;gr1;20191202;d,e,f
CMIP6.ScenarioMIP.KIOST.KIOST-ESM.ssp126;none;r1i1p1f1;day;tasmax;gr1;20201012;d
CMIP6.ScenarioMIP.KIOST.KIOST-ESM.ssp585;none;r1i1p1f1;day;tasmax;gr1;20191202;e,f
CMIP6.CMIP.MIROC.MIROC-ES2L.historical;none;r1i1p1f2;day;huss;gn;20191129;d,e,f
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp126;none;r1i1p1f2;day;huss;gn;20200318;d
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp585;none;r1i1p1f2;day;huss;gn;20200318;e,f
CMIP6.CMIP.MIROC.MIROC-ES2L.historical;none;r1i1p1f2;day;psl;gn;20191129;d,e,f
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp126;none;r1i1p1f2;day;psl;gn;20200318;d
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp585;none;r1i1p1f2;day;psl;gn;20200318;e,f
CMIP6.CMIP.MIROC.MIROC-ES2L.historical;none;r1i1p1f2;day;tasmax;gn;20191129;d,e,f
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp126;none;r1i1p1f2;day;tasmax;gn;20200318;d
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp585;none;r1i1p1f2;day;tasmax;gn;20200318;e,f
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical;none;r1i1p1f1;day;huss;gn;20190710;d,e,f
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-HR.ssp126;none;r1i1p1f1;day;huss;gn;20190710;d
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-HR.ssp585;none;r1i1p1f1;day;huss;gn;20190710;e,f
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical;none;r1i1p1f1;day;psl;gn;20190710;d,e,f
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-HR.ssp126;none;r1i1p1f1;day;psl;gn;20190710;d
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-HR.ssp585;none;r1i1p1f1;day;psl;gn;20190710;e,f
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical;none;r1i1p1f1;day;tasmax;gn;20190710;d,e,f
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-HR.ssp126;none;r1i1p1f1;day;tasmax;gn;20190710;d
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-HR.ssp585;none;r1i1p1f1;day;tasmax;gn;20190710;e,f
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical;none;r1i1p1f1;day;huss;gn;20190710;d,e,f
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp126;none;r1i1p1f1;day;huss;gn;20190710;d
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585;none;r1i1p1f1;day;huss;gn;20190710;e,f
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical;none;r1i1p1f1;day;psl;gn;20190710;d,e,f
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp126;none;r1i1p1f1;day;psl;gn;20190710;d
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585;none;r1i1p1f1;day;psl;gn;20190710;e,f
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical;none;r1i1p1f1;day;tasmax;gn;20190710;d,e,f
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp126;none;r1i1p1f1;day;tasmax;gn;20190710;d
CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585;none;r1i1p1f1;day;tasmax;gn;20190710;e,f
CMIP6.CMIP.MRI.MRI-ESM2-0.historical;none;r1i1p1f1;day;huss;gn;20190603;d,e,f
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp126;none;r1i1p1f1;day;huss;gn;20190603;d
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp585;none;r1i1p1f1;day;huss;gn;20190603;e,f
CMIP6.CMIP.MRI.MRI-ESM2-0.historical;none;r1i1p1f1;day;psl;gn;20190603;d,e,f
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp126;none;r1i1p1f1;day;psl;gn;20190603;d
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp585;none;r1i1p1f1;day;psl;gn;20190603;e,f
CMIP6.CMIP.MRI.MRI-ESM2-0.historical;none;r1i1p1f1;day;tasmax;gn;20190603;d,e,f
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp126;none;r1i1p1f1;day;tasmax;gn;20190603;d
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp585;none;r1i1p1f1;day;tasmax;gn;20190603;e,f
CMIP6.CMIP.NCC.NorESM2-MM.historical;none;r1i1p1f1;day;huss;gn;20191108;d,e,f
CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp126;none;r1i1p1f1;day;huss;gn;20191108;d
CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp585;none;r1i1p1f1;day;huss;gn;20191108;e,f
CMIP6.CMIP.NCC.NorESM2-MM.historical;none;r1i1p1f1;day;psl;gn;20191108;d,e,f
CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp126;none;r1i1p1f1;day;psl;gn;20191108;d
CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp585;none;r1i1p1f1;day;psl;gn;20191108;e,f
