DATA_REF_SYNTAX;MODEL_ID;RCM_VERSION_ID;FREQUENCY;VAR_NAME;VERSION_NO;SUBPANEL
cordex.output.EUR-11.MPI-CSC.MPI-M-MPI-ESM-LR.historical.r1i1p1;REMO2009;v1;day;mrro;v20160419;a,e,f
cordex.output.EUR-11.MPI-CSC.MPI-M-MPI-ESM-LR.rcp85.r1i1p1;REMO2009;v1;day;mrro;v20160525;a,e,f
cordex.output.EUR-11.MPI-CSC.MPI-M-MPI-ESM-LR.historical.r2i1p1;REMO2009;v1;day;mrro;v20160419;a,e,f
cordex.output.EUR-11.MPI-CSC.MPI-M-MPI-ESM-LR.rcp85.r2i1p1;REMO2009;v1;day;mrro;v20160525;a,e,f
cordex.output.EUR-11.SMHI.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1;RCA4;v1;day;mrro;v20131026;a,e,f
cordex.output.EUR-11.SMHI.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1;RCA4;v1;day;mrro;v20131026;a,e,f
cordex.output.EUR-11.SMHI.ICHEC-EC-EARTH.historical.r1i1p1;RCA4;v1;day;mrro;v20190820;a,e,f
cordex.output.EUR-11.SMHI.ICHEC-EC-EARTH.rcp85.r1i1p1;RCA4;v1;day;mrro;v20190820;a,e,f
cordex.output.EUR-11.SMHI.ICHEC-EC-EARTH.historical.r12i1p1;RCA4;v1;day;mrro;v20131026;a,e,f
cordex.output.EUR-11.SMHI.ICHEC-EC-EARTH.rcp26.r12i1p1;RCA4;v1;day;mrro;v20131026;e,f
cordex.output.EUR-11.SMHI.ICHEC-EC-EARTH.rcp85.r12i1p1;RCA4;v1;day;mrro;v20131026;a,e,f
cordex.output.EUR-11.SMHI.IPSL-IPSL-CM5A-MR.historical.r1i1p1;RCA4;v1;day;mrro;v20131026;a,e,f
cordex.output.EUR-11.SMHI.IPSL-IPSL-CM5A-MR.rcp85.r1i1p1;RCA4;v1;day;mrro;v20131026;a,e,f
cordex.output.EUR-11.SMHI.MOHC-HadGEM2-ES.historical.r1i1p1;RCA4;v1;day;mrro;v20131026;a,e,f
cordex.output.EUR-11.SMHI.MOHC-HadGEM2-ES.rcp26.r1i1p1;RCA4;v1;day;mrro;v20131026;e,f
cordex.output.EUR-11.SMHI.MOHC-HadGEM2-ES.rcp85.r1i1p1;RCA4;v1;day;mrro;v20131026;a,e,f
cordex.output.EUR-11.SMHI.MPI-M-MPI-ESM-LR.historical.r1i1p1;RCA4;v1a;day;mrro;v20160803;a,e,f
cordex.output.EUR-11.SMHI.MPI-M-MPI-ESM-LR.rcp26.r1i1p1;RCA4;v1a;day;mrro;v20170504;e,f
cordex.output.EUR-11.SMHI.MPI-M-MPI-ESM-LR.rcp85.r1i1p1;RCA4;v1a;day;mrro;v20160803;a,e,f
cordex.output.EUR-11.SMHI.MPI-M-MPI-ESM-LR.historical.r3i1p1;RCA4;v1;day;mrro;v20191001;a,e,f
cordex.output.EUR-11.SMHI.MPI-M-MPI-ESM-LR.rcp85.r3i1p1;RCA4;v1;day;mrro;v20191001;a,e,f
cordex.output.EUR-11.SMHI.NCC-NorESM1-M.historical.r1i1p1;RCA4;v1;day;mrro;v20180820;a,e,f
cordex.output.EUR-11.SMHI.NCC-NorESM1-M.rcp26.r1i1p1;RCA4;v1;day;mrro;v20190115;e,f
cordex.output.EUR-11.SMHI.NCC-NorESM1-M.rcp85.r1i1p1;RCA4;v1;day;mrro;v20180820;a,e,f
cordex-reklies.output.EUR-11.UHOH.ICHEC-EC-EARTH.historical.r12i1p1;WRF361H;v1;day;mrro;v20180717;a,e,f
cordex-reklies.output.EUR-11.UHOH.ICHEC-EC-EARTH.rcp85.r12i1p1;WRF361H;v1;day;mrro;v20180717;a,e,f
cordex.output.AFR-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1;REMO2015;v1;day;mrro;v20191015;a,e,f
cordex.output.AFR-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1;REMO2015;v1;day;mrro;v20191025;e,f
cordex.output.AFR-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1;REMO2015;v1;day;mrro;v20191029;a,e,f
cordex.output.AFR-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1;REMO2015;v1;day;mrro;v20191015;a,e,f
cordex.output.AFR-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1;REMO2015;v1;day;mrro;v20191025;e,f
cordex.output.AFR-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1;REMO2015;v1;day;mrro;v20191029;a,e,f
cordex.output.AFR-22.GERICS.NCC-NorESM1-M.historical.r1i1p1;REMO2015;v1;day;mrro;v20191015;a,e,f
cordex.output.AFR-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1;REMO2015;v1;day;mrro;v20191025;e,f
cordex.output.AFR-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1;REMO2015;v1;day;mrro;v20191029;a,e,f
cordex.output.AFR-22.ICTP.MOHC-HadGEM2-ES.historical.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.AFR-22.ICTP.MOHC-HadGEM2-ES.rcp26.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;e,f
cordex.output.AFR-22.ICTP.MOHC-HadGEM2-ES.rcp85.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.AFR-22.ICTP.MPI-M-MPI-ESM-MR.historical.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.AFR-22.ICTP.MPI-M-MPI-ESM-MR.rcp26.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;e,f
cordex.output.AFR-22.ICTP.MPI-M-MPI-ESM-MR.rcp85.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.AFR-22.ICTP.NCC-NorESM1-M.historical.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
cordex.output.AFR-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;e,f
cordex.output.AFR-22.ICTP.NCC-NorESM1-M.rcp85.r1i1p1;RegCM4-7;v0;day;mrro;v20190502;a,e,f
