DATA_REF_SYNTAX,FREQUENCY,MODELING_REALM,TABLE_ID,ENS_MEMBER,VERSION_NO,VAR_NAME,HANDLE
CMIP5.output.NASA-GISS.GISS-E2-R.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,411a01d3-70cc-4581-a142-0e80d983abeb
CMIP5.output.MOHC.HadGEM2-CC.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,dd4309ab-07d9-44f4-be05-46e3f2186942
CMIP5.output.NASA-GISS.GISS-E2-H-CC.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,5deaa23b-4bf0-49af-9f0c-9db6ffbcc618
CMIP5.output.CMCC.CMCC-CESM.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,ec4e2933-9ad5-4703-b1df-814f06de25b5
CMIP5.output.MRI.MRI-CGCM3.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,a292f03f-3129-41cb-9c0f-f6064be9f56e
CMIP5.output.MPI-M.MPI-ESM-LR.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,9dcf0555-d5c5-48d9-889a-99e697a16d4f
CMIP5.output.MRI.MRI-ESM1.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,d6bd6cf6-a8fa-4bf3-8f1a-7b06cab4efde
CMIP5.output.NSF-DOE-NCAR.CESM1-CAM5.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,44750a34-4f2d-4185-b8eb-e79bfb38b883
CMIP5.output.IPSL.IPSL-CM5A-LR.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,e57e2a83-b646-44e2-befb-45f5cf161e00
CMIP5.output.NOAA-GFDL.GFDL-CM3.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,04d57635-f322-4594-b81f-6cddf979c319
CMIP5.output.MIROC.MIROC-ESM.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,08235c7b-d0ae-40e9-8459-29bee00a2fea
CMIP5.output.CNRM-CERFACS.CNRM-CM5.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,901c127b-5428-46b4-bf3d-7d9b19b1e55f
CMIP5.output.NIMR-KMA.HadGEM2-AO.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,b366f140-6ba5-4d85-ae13-bb6e4dde0b5d
CMIP5.output.CCCma.CanESM2.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,a1cbffbc-1111-4570-84f2-32dc6607c588
CMIP5.output.MIROC.MIROC-ESM-CHEM.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,8362f803-0a0e-4b78-a94e-964152ab31bf
CMIP5.output.BNU.BNU-ESM.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,a17c85bc-dad8-4caf-8b73-21425e32d08c
CMIP5.output.NASA-GISS.GISS-E2-R.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,3ccc4285-ea5c-405d-bd7a-5416d55dd74b
CMIP5.output.MIROC.MIROC5.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,a27fb6be-d1fb-4ee0-a2f0-3b6be2c90bcd
CMIP5.output.MPI-M.MPI-ESM-LR.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,42927ecf-c142-4229-befb-7cde60a92761
CMIP5.output.NASA-GISS.GISS-E2-H.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,f2018638-4244-48ae-bc51-2f9d79817434
CMIP5.output.NOAA-GFDL.GFDL-ESM2G.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,4f5b4e07-931c-47c8-8047-702a85ccd350
