"","DATA_REF_SYNTAX","SUB_EX_ID","ENS_MEMBER","TABLE_ID","VAR_NAME","GRID_LABEL","VERSION_NO"
"88","CMIP6.ScenarioMIP.KIOST.KIOST-ESM.ssp245","none","r1i1p1f1","day","pr","gr1","v20191202"
"89","CMIP6.ScenarioMIP.KIOST.KIOST-ESM.ssp585","none","r1i1p1f1","day","pr","gr1","v20210125"
"90","CMIP6.ScenarioMIP.MIROC.MIROC6.ssp126","none","r1i1p1f1","day","pr","gn","v20191016"
"91","CMIP6.ScenarioMIP.MIROC.MIROC6.ssp245","none","r1i1p1f1","day","pr","gn","v20191016"
"92","CMIP6.ScenarioMIP.MIROC.MIROC6.ssp585","none","r1i1p1f1","day","pr","gn","v20191016"
"93","CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp126","none","r1i1p1f2","day","pr","gn","v20200318"
"94","CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp245","none","r1i1p1f2","day","pr","gn","v20200318"
"95","CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp585","none","r1i1p1f2","day","pr","gn","v20200318"
"96","CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp126","none","r1i1p1f3","day","pr","gn","v20200114"
"97","CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp245","none","r1i1p1f3","day","pr","gn","v20190908"
"98","CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp585","none","r1i1p1f3","day","pr","gn","v20200114"
"99","CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp126","none","r1i1p1f2","day","pr","gn","v20190708"
"100","CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp245","none","r1i1p1f2","day","pr","gn","v20190715"
"101","CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp585","none","r1i1p1f2","day","pr","gn","v20190726"
"102","CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp126","none","r1i1p1f1","day","pr","gn","v20190710"
"103","CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp245","none","r1i1p1f1","day","pr","gn","v20190710"
"104","CMIP6.ScenarioMIP.MPI-M.MPI-ESM1-2-LR.ssp585","none","r1i1p1f1","day","pr","gn","v20190710"
"105","CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp126","none","r1i1p1f1","day","pr","gn","v20191108"
"106","CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp245","none","r1i1p1f1","day","pr","gn","v20190603"
"107","CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp585","none","r1i1p1f1","day","pr","gn","v20191108"
"108","CMIP6.ScenarioMIP.NCAR.CESM2.ssp126","none","r4i1p1f1","day","pr","gn","v20200528"
"109","CMIP6.ScenarioMIP.NCAR.CESM2.ssp245","none","r4i1p1f1","day","pr","gn","v20200528"
"110","CMIP6.ScenarioMIP.NCAR.CESM2.ssp585","none","r4i1p1f1","day","pr","gn","v20200528"
"111","CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp126","none","r1i1p1f1","day","pr","gn","v20190815"
"112","CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp245","none","r1i1p1f1","day","pr","gn","v20190815"
"113","CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp585","none","r1i1p1f1","day","pr","gn","v20200702"
"114","CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp126","none","r1i1p1f1","day","pr","gn","v20191108"
"115","CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp245","none","r1i1p1f1","day","pr","gn","v20191108"
"116","CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp585","none","r1i1p1f1","day","pr","gn","v20191108"
"117","CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp126","none","r1i1p1f1","day","pr","gn","v20191108"
"118","CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp245","none","r1i1p1f1","day","pr","gn","v20191108"
"119","CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp585","none","r1i1p1f1","day","pr","gn","v20191108"
"120","CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp126","none","r2i1p1f1","day","pr","gr","v20191011"
"121","CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp245","none","r2i1p1f1","day","pr","gr","v20191125"
"122","CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp585","none","r2i1p1f1","day","pr","gr","v20191011"
"123","CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-CM4.ssp245","none","r1i1p1f1","day","pr","gr1","v20180701"
"124","CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-CM4.ssp585","none","r1i1p1f1","day","pr","gr1","v20180701"
"125","CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp126","none","r1i1p1f1","day","pr","gr1","v20180701"
"126","CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp245","none","r1i1p1f1","day","pr","gr1","v20180701"
"127","CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp585","none","r1i1p1f1","day","pr","gr1","v20180701"
"128","CMIP6.ScenarioMIP.NUIST.NESM3.ssp126","none","r1i1p1f1","day","pr","gn","v20190806"
"129","CMIP6.ScenarioMIP.NUIST.NESM3.ssp245","none","r1i1p1f1","day","pr","gn","v20190805"
"130","CMIP6.ScenarioMIP.NUIST.NESM3.ssp585","none","r1i1p1f1","day","pr","gn","v20190811"
