"","DATA_REF_SYNTAX","FREQUENCY","MODELING_REALM","TABLE_ID","ENS_MEMBER","VERSION_NO","VAR_NAME"
"67","CMIP5.output1.NOAA GFDL.GFDL-ESM2G.rcp45","day","atmos","Table day (31 Jan 2011)","r1i1p1",NA,"pr"
"68","CMIP5.output1.NOAA GFDL.GFDL-ESM2M.rcp45","day","atmos","Table day (31 Jan 2011)","r1i1p1",NA,"pr"
"69","CMIP5.output.MOHC.HadGEM2-CC.rcp45","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"70","CMIP5.output.MOHC.HadGEM2-ES.rcp45","day","atmos","Table day (30 November 2010) 124740b2ad2bc003e05675678080dc82","r1i1p1",NA,"pr"
"71","CMIP5.output.INM.inmcm4.rcp45","day","atmos","Table day (12 May 2010) f130b8ed0705d49c749410c0519c50cb","r1i1p1",NA,"pr"
"72","CMIP5.output.IPSL.IPSL-CM5A-LR.rcp45","day","atmos","Table day (10 February 2011) 80e409bd73611e9d25d049ad2059c310","r1i1p1",NA,"pr"
"73","CMIP5.output.IPSL.IPSL-CM5A-MR.rcp45","day","atmos","Table day (10 February 2011) 80e409bd73611e9d25d049ad2059c310","r1i1p1",NA,"pr"
"74","CMIP5.output.IPSL.IPSL-CM5B-LR.rcp45","day","atmos","Table day (10 February 2011) 80e409bd73611e9d25d049ad2059c310","r1i1p1",NA,"pr"
"75","CMIP5.output.MIROC.MIROC-ESM-CHEM.rcp45","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"76","CMIP5.output.MIROC.MIROC-ESM.rcp45","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"77","CMIP5.output.MIROC.MIROC5.rcp45","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"78","CMIP5.output.MPI-M.MPI-ESM-LR.rcp45","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"79","CMIP5.output.MPI-M.MPI-ESM-MR.rcp45","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"80","CMIP5.output.MRI.MRI-CGCM3.rcp45","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"81","CMIP5.output.NCC.NorESM1-M.rcp45","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"82","CMIP5.output.CSIRO-BOM.ACCESS1-0.rcp85","day","atmos","Table day (01 February 2012) b6353e9919862612c81d65cae757c88a","r1i1p1","v20120115","pr"
"83","CMIP5.output.CSIRO-BOM.ACCESS1.3.rcp85","day","atmos","Table day (01 February 2012) b6353e9919862612c81d65cae757c88a","r1i1p1","v20120413","pr"
"84","CMIP5.output.BCC.bcc-csm1-1-m.rcp85","day","atmos","Table day (11 April 2011) ec52f6ea2595168e5458ad1b950fd49c","r1i1p1",NA,"pr"
"85","CMIP5.output.BCC.bcc-csm1-1.rcp85","day","atmos","Table day (11 April 2011) ec52f6ea2595168e5458ad1b950fd49c","r1i1p1",NA,"pr"
"86","CMIP5.output.BNU.BNU-ESM.rcp85","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"87","CMIP5.output.CCCma.CanESM2.rcp85","day","atmos","Table day (28 March 2011) f9d6cfec5981bb8be1801b35a81002f0","r1i1p1",NA,"pr"
"88","CMIP5.output.NCAR.CCSM4.rcp85","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"89","CMIP5.output.NSF-DOE-NCAR.CESM1-BGC.rcp85","day","atmos","Table day (12 January 2012) 7757d80c56ae0b9009f150afa4850c4e","r1i1p1",NA,"pr"
"90","CMIP5.output.CMCC.CMCC-CM.rcp85","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"91","CMIP5.output.CMCC.CMCC-CMS.rcp85","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"92","CMIP5.output.CNRM-CERFACS.CNRM-CM5.rcp85","day","atmos","Table day (31 January 2011) 43a867c1fea438258e3971754e4dacea","r1i1p1",NA,"pr"
"93","CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp85","day","atmos","Table day (27 April 2011) bf45c74b31f20daf85ca72b20a6007b7","r1i1p1","v20110518","pr"
"94","CMIP5.output.ICHEC.EC-EARTH.rcp85","day","atmos","Table day (26 July 2011) 0640f2bc62aad4ebefa8ecc119311890","r12i1p1",NA,"pr"
"95","CMIP5.output.LASG-CESS.FGOALS_g2.rcp85","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"96","CMIP5.output1.NOAA GFDL.GFDL-CM3.rcp85","day","atmos","Table day (31 Jan 2011)","r1i1p1",NA,"pr"
"97","CMIP5.output1.NOAA GFDL.GFDL-ESM2G.rcp85","day","atmos","Table day (31 Jan 2011)","r1i1p1",NA,"pr"
"98","CMIP5.output1.NOAA GFDL.GFDL-ESM2M.rcp85","day","atmos","Table day (31 Jan 2011)","r1i1p1",NA,"pr"
"99","CMIP5.output.MOHC.HadGEM2-CC.rcp85","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"100","CMIP5.output.MOHC.HadGEM2-ES.rcp85","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"101","CMIP5.output.INM.inmcm4.rcp85","day","atmos","Table day (12 May 2010) f130b8ed0705d49c749410c0519c50cb","r1i1p1",NA,"pr"
"102","CMIP5.output.IPSL.IPSL-CM5A-LR.rcp85","day","atmos","Table day (10 February 2011) 80e409bd73611e9d25d049ad2059c310","r1i1p1",NA,"pr"
"103","CMIP5.output.IPSL.IPSL-CM5A-MR.rcp85","day","atmos","Table day (10 February 2011) 80e409bd73611e9d25d049ad2059c310","r1i1p1",NA,"pr"
"104","CMIP5.output.IPSL.IPSL-CM5B-LR.rcp85","day","atmos","Table day (10 February 2011) 80e409bd73611e9d25d049ad2059c310","r1i1p1",NA,"pr"
"105","CMIP5.output.MIROC.MIROC-ESM-CHEM.rcp85","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"106","CMIP5.output.MIROC.MIROC-ESM.rcp85","day","atmos","Table day (26 July 2011) f21c16b785432e6bd3f72e80f2cade49","r1i1p1",NA,"pr"
"107","CMIP5.output.MIROC.MIROC5.rcp85","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"108","CMIP5.output.MPI-M.MPI-ESM-LR.rcp85","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"109","CMIP5.output.MPI-M.MPI-ESM-MR.rcp85","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"110","CMIP5.output.MRI.MRI-CGCM3.rcp85","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
"111","CMIP5.output.NCC.NorESM1-M.rcp85","day","atmos","Table day (27 April 2011) 86d1558d99b6ed1e7a886ab3fd717b58","r1i1p1",NA,"pr"
