DATA_REF_SYNTAX,MODEL_ID,RCM_VERSION_ID,FREQUENCY,VAR_NAME,VERSION_NO,PANELS
CORDEX.output.AFR-44.DMI.ICHEC-EC-EARTH.rcp85.r3i1p1,DMI-HIRHAM5,v2,day,tasmax,v20140915,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.GERICS.IPSL-IPSL-CM5A-LR.historical.r1i1p1,GERICS-REMO2009,v1,day,tasmax,v20160630,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.GERICS.IPSL-IPSL-CM5A-LR.rcp26.r1i1p1,GERICS-REMO2009,v1,day,tasmax,v20160630,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.GERICS.IPSL-IPSL-CM5A-LR.rcp85.r1i1p1,GERICS-REMO2009,v1,day,tasmax,v20160630,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.GERICS.MIROC-MIROC5.historical.r1i1p1,GERICS-REMO2009,v1,day,tasmax,v20160705,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.GERICS.MIROC-MIROC5.rcp26.r1i1p1,GERICS-REMO2009,v1,day,tasmax,v20160705,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.GERICS.MIROC-MIROC5.rcp85.r1i1p1,GERICS-REMO2009,v1,day,tasmax,v20170620,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1,GERICS-REMO2009,v1,day,tasmax,v20160728,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1,GERICS-REMO2009,v1,day,tasmax,v20160728,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1,GERICS-REMO2009,v1,day,tasmax,v20170620,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.GERICS.NOAA-GFDL-GFDL-ESM2G.historical.r1i1p1,GERICS-REMO2009,v1,day,tasmax,v20160630,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.GERICS.NOAA-GFDL-GFDL-ESM2G.rcp26.r1i1p1,GERICS-REMO2009,v1,day,tasmax,v20160630,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.historical.r12i1p1,KNMI-RACMO22T,v1,day,tasmax,v20170403,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.KNMI.ICHEC-EC-EARTH.rcp26.r12i1p1,KNMI-RACMO22T,v1,day,tasmax,v20170403,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.KNMI.MOHC-HadGEM2-ES.historical.r1i1p1,KNMI-RACMO22T,v2,day,tasmax,v20160802,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.KNMI.MOHC-HadGEM2-ES.rcp26.r1i1p1,KNMI-RACMO22T,v2,day,tasmax,v20160802,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.KNMI.MOHC-HadGEM2-ES.rcp85.r1i1p1,KNMI-RACMO22T,v2,day,tasmax,v20160802,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.MPI-CSC.ICHEC-EC-EARTH.historical.r12i1p1,MPI-CSC-REMO2009,v1,day,tasmax,v20160412,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.MPI-CSC.ICHEC-EC-EARTH.rcp26.r12i1p1,MPI-CSC-REMO2009,v1,day,tasmax,v20160412,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.MPI-CSC.ICHEC-EC-EARTH.rcp85.r12i1p1,MPI-CSC-REMO2009,v1,day,tasmax,v20160412,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.MPI-CSC.MPI-M-MPI-ESM-LR.historical.r1i1p1,MPI-CSC-REMO2009,v1,day,tasmax,v20160412,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.MPI-CSC.MPI-M-MPI-ESM-LR.rcp26.r1i1p1,MPI-CSC-REMO2009,v1,day,tasmax,v20160412,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.MPI-CSC.MPI-M-MPI-ESM-LR.rcp85.r1i1p1,MPI-CSC-REMO2009,v1,day,tasmax,v20160412,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.SMHI.CCCma-CanESM2.historical.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20130927,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.SMHI.CCCma-CanESM2.rcp85.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20130927,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.SMHI.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20130927,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.SMHI.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20130927,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
CORDEX.output.AFR-44.SMHI.CSIRO-QCCCE-CSIRO-Mk3-6-0.historical.r1i1p1,SMHI-RCA4,v1,day,tasmax,v20141217,WAF,SAH,CAF,WSAF,ESAF,MDG,SEAF,NEAF,ARP
