DATA_REF_SYNTAX,SUB_EX_ID,TABLE_ID,ENS_MEMBER,GRID_LABEL,VERSION_NO,VAR_NAME
CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical,none,day,r1i1p1f2,gr,v20181206,tasmax
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp126,none,day,r1i1p1f2,gr,v20190328,tasmax
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp585,none,day,r1i1p1f2,gr,v20191021,tasmax
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3-Veg.historical,none,day,r1i1p1f1,gr,v20200225,tasmax
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp126,none,day,r1i1p1f1,gr,v20200225,tasmax
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp585,none,day,r1i1p1f1,gr,v20200225,tasmax
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical,none,day,r1i1p1f1,gr,v20200310,tasmax
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126,none,day,r1i1p1f1,gr,v20200310,tasmax
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585,none,day,r1i1p1f1,gr,v20200310,tasmax
CMIP6.CMIP.CAS.FGOALS-g3.historical,none,day,r1i1p1f1,gn,v20190826,tasmax
CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp126,none,day,r1i1p1f1,gn,v20200928,tasmax
CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp585,none,day,r1i1p1f1,gn,v20190819,tasmax
CMIP6.CMIP.NOAA-GFDL.GFDL-CM4.historical,none,day,r1i1p1f1,gr2,v20180701,tasmax
CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-CM4.ssp585,none,day,r1i1p1f1,gr1,v20180701,tasmax
CMIP6.CMIP.NOAA-GFDL.GFDL-ESM4.historical,none,day,r1i1p1f1,gr1,v20190726,tasmax
CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp126,none,day,r1i1p1f1,gr1,v20180701,tasmax
CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp585,none,day,r1i1p1f1,gr1,v20180701,tasmax
CMIP6.CMIP.MOHC.HadGEM3-GC31-LL.historical,none,day,r1i1p1f3,gn,v20190624,tasmax
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp126,none,day,r1i1p1f3,gn,v20200114,tasmax
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp585,none,day,r1i1p1f3,gn,v20200114,tasmax
CMIP6.CMIP.INM.INM-CM4-8.historical,none,day,r1i1p1f1,gr1,v20190530,tasmax
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp126,none,day,r1i1p1f1,gr1,v20190603,tasmax
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp585,none,day,r1i1p1f1,gr1,v20190603,tasmax
CMIP6.CMIP.INM.INM-CM5-0.historical,none,day,r1i1p1f1,gr1,v20190610,tasmax
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp126,none,day,r1i1p1f1,gr1,v20190619,tasmax
