DATA_REF_SYNTAX;FREQUENCY;MODELING_REALM;TABLE_ID;ENS_MEMBER;VERSION_NO;VAR_NAME;SUBPANEL
cmip5.output1.IPSL.IPSL-CM5A-MR.rcp26;day;atmos;day;r1i1p1;v20111119;tasmax;
cmip5.output1.IPSL.IPSL-CM5A-MR.rcp85;day;atmos;day;r1i1p1;v20111119;tasmax;
cmip5.output1.IPSL.IPSL-CM5B-LR.historical;day;atmos;day;r1i1p1;v20130506;huss;
cmip5.output1.IPSL.IPSL-CM5B-LR.rcp85;day;atmos;day;r1i1p1;v20120430;huss;
cmip5.output1.IPSL.IPSL-CM5B-LR.historical;day;atmos;day;r1i1p1;v20130506;psl;
cmip5.output1.IPSL.IPSL-CM5B-LR.rcp85;day;atmos;day;r1i1p1;v20120430;psl;
cmip5.output1.IPSL.IPSL-CM5B-LR.historical;day;atmos;day;r1i1p1;v20130506;tasmax;
cmip5.output1.IPSL.IPSL-CM5B-LR.rcp85;day;atmos;day;r1i1p1;v20120430;tasmax;
cmip5.output1.CSIRO-BOM.ACCESS1-0.historical;day;atmos;day;r1i1p1;v20130529;huss;
cmip5.output1.CSIRO-BOM.ACCESS1-0.rcp85;day;atmos;day;r1i1p1;v20130529;huss;
cmip5.output1.CSIRO-BOM.ACCESS1-0.historical;day;atmos;day;r1i1p1;v20130529;psl;
cmip5.output1.CSIRO-BOM.ACCESS1-0.rcp85;day;atmos;day;r1i1p1;v20130529;psl;
cmip5.output1.CSIRO-BOM.ACCESS1-0.historical;day;atmos;day;r1i1p1;v20130529;tasmax;
cmip5.output1.CSIRO-BOM.ACCESS1-0.rcp85;day;atmos;day;r1i1p1;v20130529;tasmax;
cmip5.output1.CSIRO-BOM.ACCESS1-3.historical;day;atmos;day;r1i1p1;v20130529;huss;
cmip5.output1.CSIRO-BOM.ACCESS1-3.rcp85;day;atmos;day;r1i1p1;v20130529;huss;
cmip5.output1.CSIRO-BOM.ACCESS1-3.historical;day;atmos;day;r1i1p1;v20130529;psl;
cmip5.output1.CSIRO-BOM.ACCESS1-3.rcp85;day;atmos;day;r1i1p1;v20130529;psl;
cmip5.output1.CSIRO-BOM.ACCESS1-3.historical;day;atmos;day;r1i1p1;v20130529;tasmax;
cmip5.output1.CSIRO-BOM.ACCESS1-3.rcp85;day;atmos;day;r1i1p1;v20130529;tasmax;
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.historical;day;atmos;day;r1i1p1;v20120323;huss;
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp26;day;atmos;day;r1i1p1;v20120323;huss;
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp85;day;atmos;day;r1i1p1;v20120323;huss;
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.historical;day;atmos;day;r1i1p1;v20120323;psl;
